chr	start	end	i	ngenes	dist	cum_sum
8	0	0	1	0	26932	0
8	26932	26971	2	0	32898	0
8	59869	59961	3	0	122966	0
8	182927	182933	4	0	3	0
8	182936	182965	5	0	32855	0
8	215820	216059	6	0	-219	0
8	215840	215990	7	0	-130	0
8	215860	216010	8	0	5941	0
8	221951	222074	9	0	26613	0
8	248687	248752	10	0	448	0
8	249200	249350	11	0	-28	0
8	249322	249430	12	0	8830	0
8	258260	258410	13	0	87938	0
8	346348	346503	14	0	61337	0
8	407840	408115	15	0	-215	0
8	407900	408050	16	0	-110	0
8	407940	408090	17	0	19487	0
8	427577	427810	18	0	-230	0
8	427580	427730	19	0	-50	0
8	427680	427830	20	0	1430	0
8	429260	429410	21	0	-75	0
8	429335	429681	22	0	5867	0
8	435548	435634	23	0	80	0
8	435714	435758	24	0	862	0
8	436620	436770	25	0	-144	0
8	436626	436864	26	0	19555	0
8	456419	456665	27	0	-185	0
8	456480	456630	28	0	85487	0
8	542117	542234	29	0	2694	0
8	544928	545089	30	0	-129	0
8	544960	545110	31	0	20330	0
8	565440	565590	32	0	128042	0
8	693632	693708	33	0	8463	0
8	702171	702428	34	0	-228	0
8	702200	702350	35	0	15029	0
8	717379	717497	36	0	630	0
8	718127	718297	37	0	54723	0
8	773020	773170	38	0	-53	0
8	773117	773246	39	0	12183	0
8	785429	785477	40	0	22143	0
8	807620	807770	41	0	-104	0
8	807666	807827	42	0	9233	0
8	817060	817210	43	0	-130	0
8	817080	817230	44	0	24996	0
8	842226	842358	45	0	54451	0
8	896809	897136	46	0	-216	0
8	896920	897070	47	0	-130	0
8	896940	897090	48	0	17224	0
8	914314	914379	49	0	24409	0
8	938788	938881	50	0	19858	0
8	958739	958742	51	0	2	0
8	958744	958817	52	0	33063	0
8	991880	992030	53	0	-103	0
8	991927	992089	54	0	-149	0
8	991940	992090	55	0	3702	0
8	995792	995931	56	0	90445	0
8	1086376	1086542	57	0	-162	0
8	1086380	1086530	58	0	25439	0
8	1111969	1112092	59	0	119243	0
8	1231335	1231471	60	0	-111	0
8	1231360	1231510	61	0	41890	0
8	1273400	1273550	62	0	-120	0
8	1273430	1273645	63	0	-165	0
8	1273480	1273630	64	0	36438	0
8	1310068	1310213	65	0	-113	0
8	1310100	1310250	66	0	60522	0
8	1370772	1370900	67	0	20580	0
8	1391480	1391630	68	0	11657	0
8	1403287	1403501	69	0	-161	0
8	1403340	1403490	70	0	59230	0
8	1462720	1462870	71	0	-130	0
8	1462740	1462890	72	0	13370	0
8	1476260	1476410	73	0	-127	0
8	1476283	1476372	74	0	63905	0
8	1540277	1540386	75	0	103584	0
8	1643970	1644270	76	0	-290	0
8	1643980	1644130	77	0	-90	0
8	1644040	1644190	78	0	666	0
8	1644856	1645016	79	0	4504	0
8	1649520	1649741	80	0	-221	0
8	1649520	1649670	81	0	-90	0
8	1649580	1649730	82	0	33970	0
8	1683700	1683850	83	0	-138	0
8	1683712	1683880	84	0	-140	0
8	1683740	1683890	85	0	10010	0
8	1693900	1694050	86	0	-131	0
8	1693919	1694106	87	0	-126	0
8	1693980	1694130	88	0	18439	0
8	1712569	1712663	89	0	16841	0
8	1729504	1729689	90	0	-169	0
8	1729520	1729670	91	0	-130	0
8	1729540	1729690	92	0	36786	0
